Country,year,Population,area
Slovak Republic,1961,4193035.0,49030.0
Slovenia,1961,1596554.0,20270.0
Solomon Islands,1961,121403.0,28900.0
Somalia,1961,2814683.0,637660.0
South Africa,1961,17850045.0,1219090.0
Spain,1961,30777097.0,505990.0
Sri Lanka,1961,10129134.0,65610.0
Sudan,1961,7749884.0,2505810.0
Suriname,1961,298190.0,163820.0
Swaziland,1961,357522.0,17360.0
Sweden,1961,7527081.0,450300.0
Switzerland,1961,5393411.0,41280.0
Syria,1961,4742596.0,185180.0
Tajikistan,1961,2140413.0,142550.0
Tanzania,1961,10373380.0,947300.0
Thailand,1961,28224208.0,513120.0
East Timor,1961,508311.0,14870.0
Togo,1961,1597528.0,56790.0
Tonga,1961,63740.0,750.0
Trinidad and Tobago,1961,865356.0,5130.0
Tunisia,1961,4235936.0,163610.0
Turkey,1961,28229291.0,783560.0
Turkmenistan,1961,1649914.0,488100.0
Turks and Caicos Islands,1961,5760.0,950.0
Tuvalu,1961,6242.0,30.0
Uganda,1961,7006629.0,241550.0
Ukraine,1961,43203635.0,603560.0
United Arab Emirates,1961,100985.0,83600.0
United Kingdom,1961,52765864.0,243610.0
United States,1961,189077076.0,9629090.0
Uruguay,1961,2571691.0,176220.0
Uzbekistan,1961,9044671.0,447400.0
Vanuatu,1961,65708.0,12190.0
Venezuela,1961,8461684.0,912050.0
West Bank and Gaza,1961,1096903.0,6020.0
Vietnam,1961,33666768.0,331690.0
Virgin Islands (U.S.),1961,35178.0,350.0
Zambia,1961,3142848.0,752610.0
Zimbabwe,1961,3876638.0,390760.0
Afghanistan,1962,9343772.0,652230.0
Albania,1962,1737645.0,28750.0
Algeria,1962,11690152.0,2381740.0
American Samoa,1962,21118.0,200.0
Andorra,1962,15376.0,470.0
Angola,1962,5465905.0,1246700.0
Antigua & Barbuda,1962,56311.0,440.0
Argentina,1962,21287682.0,2780400.0
Armenia,1962,2002170.0,29740.0
Aruba,1962,56226.0,180.0
Australia,1962,10691220.0,7741220.0
Austria,1962,7151077.0,83870.0
Azerbaijan,1962,4167558.0,86600.0
Bahamas,1962,121083.0,13880.0
Bahrain,1962,173107.0,690.0
Bangladesh,1962,51030604.0,144000.0
Barbados,1962,232584.0,430.0
Belarus,1962,8356956.0,207600.0
Belgium,1962,9261828.0,
